day,month,duration,campaign,y,customer_id,sign_up_probability,layer2_sign_up_probability,age,education,default,balance,housing,loan,probability_bin,job,contact,marital
15,may,1223,3,no,38679,0.528173185366949,1.0,29,secondary,no,252,yes,no,0.5-0.6,blue-collar,telephone,married
14,may,532,1,no,37632,0.41116017209520306,1.0,32,secondary,no,1914,yes,no,0.4-0.5,blue-collar,telephone,married
16,jul,1056,2,no,14965,0.8562891748363002,1.0,31,secondary,no,0,yes,no,0.8-0.9,blue-collar,telephone,single
13,feb,123,1,no,31067,0.770752512531217,0.9975,27,tertiary,no,4991,yes,no,0.7-0.8,blue-collar,telephone,single
27,mar,558,1,no,31427,0.42755731795746377,0.9966666666666667,57,secondary,no,3858,no,no,0.4-0.5,technician,telephone,married
8,jul,1720,4,no,13268,0.44297289229877973,0.996,40,tertiary,no,2840,yes,no,0.4-0.5,management,telephone,married
21,nov,1036,2,no,27477,0.469512748806423,0.9954999999999999,47,secondary,no,912,no,no,0.4-0.5,technician,telephone,married
18,nov,989,1,no,25388,0.4386146176513446,0.995,40,tertiary,no,6008,yes,no,0.4-0.5,management,telephone,married
2,apr,225,2,no,31542,0.5327630341962659,0.993,24,primary,no,1283,no,no,0.5-0.6,student,telephone,single
19,nov,479,1,no,25645,0.6716166082331283,0.9921666666666666,30,tertiary,no,2708,no,no,0.6-0.7,management,telephone,single
2,feb,550,1,no,28971,0.9240038986233887,0.991979797979798,39,secondary,no,7,yes,no,0.9-1.0,blue-collar,telephone,married
9,jul,628,1,no,13526,0.5947557104158768,0.99,34,secondary,no,0,no,no,0.5-0.6,technician,telephone,married
10,mar,97,1,no,31289,0.8789662378431253,0.985,28,secondary,no,6551,no,no,0.8-0.9,technician,telephone,single
8,may,851,1,no,35728,0.7314407249445594,0.9833333333333333,40,secondary,no,526,yes,no,0.7-0.8,blue-collar,telephone,married
13,aug,900,2,no,20758,0.6956415920597463,0.9831111111111112,56,unknown,no,681,no,no,0.6-0.7,blue-collar,telephone,married
26,may,470,1,no,5779,0.5103606282723415,0.9825,28,tertiary,no,7544,yes,no,0.5-0.6,management,unknown,single
7,aug,520,3,no,19692,0.399407937334727,0.9817236842105262,32,secondary,no,554,no,no,0.3-0.4,technician,telephone,single
30,apr,280,1,no,34034,0.5848471698744564,0.9788470501205893,32,tertiary,no,628,no,no,0.5-0.6,management,telephone,married
11,jul,773,3,no,14214,0.3898761122621531,0.978,31,secondary,no,505,no,no,0.3-0.4,services,telephone,married
22,jul,527,1,no,15965,0.5395135442515685,0.9759365079365078,27,secondary,no,10,yes,no,0.5-0.6,services,telephone,married
20,nov,661,1,no,26611,0.607854809952768,0.975625,44,primary,no,3953,yes,no,0.6-0.7,blue-collar,telephone,married
11,may,628,1,no,36213,0.5953263952360802,0.9756153846153847,41,secondary,no,1219,yes,no,0.5-0.6,blue-collar,telephone,married
15,may,439,1,no,38346,0.5940029173851631,0.9733333333333333,32,tertiary,no,1710,yes,no,0.5-0.6,technician,telephone,single
18,jul,788,6,no,15481,0.8169681168542356,0.9731666666666667,26,secondary,no,0,yes,no,0.8-0.9,blue-collar,telephone,married
15,may,456,1,no,38397,0.45265330836686984,0.9715,31,secondary,no,147,yes,no,0.4-0.5,student,telephone,married
20,may,423,1,no,4492,0.638119820970263,0.9711111111111111,34,secondary,no,1689,no,no,0.6-0.7,blue-collar,unknown,married
18,may,599,1,no,39105,0.45760140414934036,0.9702222222222222,30,unknown,no,694,yes,yes,0.4-0.5,blue-collar,telephone,single
28,apr,318,2,no,33849,0.5053493186752438,0.9694444444444444,68,secondary,no,20723,yes,no,0.5-0.6,retired,telephone,married
9,jul,530,2,no,13639,0.735355669040905,0.9681666666666665,32,tertiary,no,57,no,no,0.7-0.8,blue-collar,telephone,married
21,nov,1067,2,no,27698,0.5283698548906804,0.9658333333333333,42,tertiary,no,5,no,no,0.5-0.6,management,telephone,married
20,apr,196,2,no,33068,0.9015773387517751,0.9639642857142857,38,primary,no,3913,yes,no,0.9-1.0,blue-collar,telephone,married
9,jul,672,6,no,13580,0.38910579802615153,0.9633333333333334,44,secondary,no,145,no,yes,0.3-0.4,blue-collar,telephone,married
20,nov,690,3,no,26853,0.6456165943370696,0.9616428571428571,36,primary,no,3202,yes,no,0.6-0.7,blue-collar,telephone,married
3,apr,376,1,no,31552,0.6773647999402301,0.9613333333333334,54,tertiary,no,5417,yes,no,0.6-0.7,entrepreneur,telephone,single
9,feb,844,2,no,30928,0.6077529152787573,0.9608333333333334,29,secondary,no,160,no,no,0.6-0.7,management,telephone,married
15,may,895,5,no,38590,0.7176703622697665,0.9591666666666667,54,secondary,no,-394,yes,no,0.7-0.8,blue-collar,telephone,married
26,may,500,2,no,39562,0.8992753384310617,0.9581190476190475,37,secondary,no,11303,no,no,0.8-0.9,blue-collar,telephone,married
21,nov,744,2,no,27189,0.9819645596064308,0.9542261904761904,39,secondary,no,458,no,no,0.9-1.0,blue-collar,telephone,married
17,apr,468,1,no,32584,0.3790169258180226,0.9541428571428571,24,secondary,no,9,yes,yes,0.3-0.4,blue-collar,telephone,married
9,apr,304,1,no,31889,0.9348519561448032,0.9538333333333334,59,secondary,no,817,no,no,0.9-1.0,blue-collar,telephone,married
5,may,418,3,no,34718,0.44557169965303456,0.951547619047619,47,tertiary,no,0,no,no,0.4-0.5,entrepreneur,telephone,married
22,apr,220,1,no,33729,0.49743800547684847,0.9481190476190475,71,tertiary,no,780,no,no,0.4-0.5,retired,telephone,married
5,feb,728,4,no,30559,0.40477355496082446,0.944047619047619,32,primary,no,158,yes,no,0.4-0.5,blue-collar,telephone,married
16,apr,301,3,no,32456,0.6191035762423932,0.9412501135815089,33,secondary,no,818,yes,yes,0.6-0.7,blue-collar,telephone,married
3,feb,446,1,no,29591,0.5019650015617703,0.9409523809523809,32,secondary,no,0,no,no,0.5-0.6,technician,telephone,single
1,jun,111,1,no,39815,0.9939952579401514,0.940618776285443,46,secondary,no,2087,no,no,0.9-1.0,blue-collar,telephone,married
21,aug,575,4,no,22202,0.6886995837216517,0.9383333333333332,33,tertiary,no,433,no,no,0.6-0.7,management,telephone,married
