day,month,duration,campaign,y,customer_id,sign_up_probability,layer2_sign_up_probability,age,education,default,balance,housing,loan,probability_bin,job,contact,marital
16,jul,1056,2,no,14965,0.8562891748363002,1.0,31,secondary,no,0,yes,no,0.8-0.9,blue-collar,telephone,single
13,feb,123,1,no,31067,0.770752512531217,0.9975,27,tertiary,no,4991,yes,no,0.7-0.8,blue-collar,telephone,single
2,feb,550,1,no,28971,0.9240038986233887,0.991979797979798,39,secondary,no,7,yes,no,0.9-1.0,blue-collar,telephone,married
10,mar,97,1,no,31289,0.8789662378431253,0.985,28,secondary,no,6551,no,no,0.8-0.9,technician,telephone,single
8,may,851,1,no,35728,0.7314407249445594,0.9833333333333333,40,secondary,no,526,yes,no,0.7-0.8,blue-collar,telephone,married
13,aug,900,2,no,20758,0.6956415920597463,0.9831111111111112,56,unknown,no,681,no,no,0.6-0.7,blue-collar,telephone,married
18,jul,788,6,no,15481,0.8169681168542356,0.9731666666666667,26,secondary,no,0,yes,no,0.8-0.9,blue-collar,telephone,married
9,jul,530,2,no,13639,0.735355669040905,0.9681666666666665,32,tertiary,no,57,no,no,0.7-0.8,blue-collar,telephone,married
20,apr,196,2,no,33068,0.9015773387517751,0.9639642857142857,38,primary,no,3913,yes,no,0.9-1.0,blue-collar,telephone,married
15,may,895,5,no,38590,0.7176703622697665,0.9591666666666667,54,secondary,no,-394,yes,no,0.7-0.8,blue-collar,telephone,married
26,may,500,2,no,39562,0.8992753384310617,0.9581190476190475,37,secondary,no,11303,no,no,0.8-0.9,blue-collar,telephone,married
21,nov,744,2,no,27189,0.9819645596064308,0.9542261904761904,39,secondary,no,458,no,no,0.9-1.0,blue-collar,telephone,married
9,apr,304,1,no,31889,0.9348519561448032,0.9538333333333334,59,secondary,no,817,no,no,0.9-1.0,blue-collar,telephone,married
1,jun,111,1,no,39815,0.9939952579401514,0.940618776285443,46,secondary,no,2087,no,no,0.9-1.0,blue-collar,telephone,married
21,aug,575,4,no,22202,0.6886995837216517,0.9383333333333332,33,tertiary,no,433,no,no,0.6-0.7,management,telephone,married
20,apr,334,1,no,33361,0.8574043661873116,0.938,44,secondary,no,-865,yes,no,0.8-0.9,technician,telephone,married
16,feb,223,7,no,31089,0.7311456584000422,0.9354047619047617,82,tertiary,no,278,no,no,0.7-0.8,retired,telephone,married
20,apr,328,2,no,33376,0.7785290295181672,0.9266666666666667,37,tertiary,no,43,yes,no,0.7-0.8,blue-collar,telephone,married
9,feb,284,2,no,30816,0.9783875024353272,0.926477272727273,31,secondary,no,476,no,no,0.9-1.0,blue-collar,telephone,single
26,may,135,1,no,39601,0.9350588201151431,0.9177777777777778,28,tertiary,no,336,no,no,0.9-1.0,blue-collar,telephone,single
8,aug,521,4,no,19915,0.9303147858688002,0.9157619047619048,57,secondary,no,3242,no,no,0.9-1.0,blue-collar,telephone,married
5,feb,519,1,no,30197,0.9927437345630036,0.9055238095238096,50,secondary,no,381,no,no,0.9-1.0,blue-collar,telephone,married
14,aug,605,2,no,21038,0.7463775411373949,0.9052261904761905,41,secondary,no,388,no,no,0.7-0.8,blue-collar,telephone,married
7,aug,420,3,no,19461,0.8760947424423026,0.9033088023088027,37,tertiary,no,2505,no,no,0.8-0.9,blue-collar,telephone,single
26,may,145,1,no,39581,0.7052475240887334,0.9026666666666666,54,tertiary,no,6507,no,no,0.7-0.8,technician,telephone,married
5,feb,693,2,no,30486,0.709099898965659,0.8987142857142858,30,tertiary,no,285,no,no,0.7-0.8,blue-collar,telephone,married
19,nov,800,6,no,26134,0.984974451695078,0.8974047619047618,53,secondary,no,2924,no,no,0.9-1.0,blue-collar,telephone,married
20,apr,207,2,no,33228,0.6946816173022957,0.8957396214896214,37,secondary,no,756,yes,no,0.6-0.7,blue-collar,telephone,married
7,may,455,1,no,35223,0.7662764638603353,0.894238095238095,30,secondary,no,222,yes,no,0.7-0.8,blue-collar,telephone,single
3,feb,151,1,no,29497,0.9169934714935293,0.8898095238095238,34,secondary,no,-75,no,no,0.9-1.0,blue-collar,telephone,married
2,mar,149,1,no,31207,0.8512581344064256,0.8873333333333333,36,tertiary,no,1381,no,no,0.8-0.9,technician,telephone,married
14,may,551,2,no,37894,0.8356037098394897,0.8785476190476189,34,secondary,no,384,yes,no,0.8-0.9,blue-collar,telephone,married
20,apr,271,1,no,33295,0.7669372021722579,0.8777609126984126,26,primary,no,52,yes,no,0.7-0.8,blue-collar,telephone,single
3,feb,248,2,no,29551,0.9502932364005665,0.8772142857142857,36,secondary,no,587,no,no,0.9-1.0,blue-collar,telephone,married
22,jul,464,5,no,16183,0.7059104203411153,0.8754285714285714,61,secondary,no,479,no,no,0.7-0.8,retired,telephone,married
26,may,362,1,no,39640,0.8789662378431253,0.8743333333333334,28,secondary,no,6551,no,no,0.8-0.9,technician,telephone,single
